STATE,TYPE OF PRODUCER,GENERATION(Mwh)
ND,"Electric Generators, Independent Power Producers",9138170
NE,"Combined Heat and Power, Commercial Power",17924
NE,"Combined Heat and Power, Industrial Power",344119
NE,"Electric Generators, Electric Utilities",28818114
NE,"Electric Generators, Independent Power Producers",9464488
NH,"Combined Heat and Power, Commercial Power",64791
NH,"Combined Heat and Power, Industrial Power",29005
NH,"Electric Generators, Electric Utilities",660628
NH,"Electric Generators, Independent Power Producers",16680566
NJ,"Combined Heat and Power, Commercial Power",643265
NJ,"Combined Heat and Power, Electric Power",6911564
NJ,"Combined Heat and Power, Industrial Power",471205
NJ,"Electric Generators, Electric Utilities",62574
NJ,"Electric Generators, Independent Power Producers",53297915
NM,"Combined Heat and Power, Commercial Power",121998
NM,"Combined Heat and Power, Electric Power",20252
NM,"Combined Heat and Power, Industrial Power",47907
NM,"Electric Generators, Electric Utilities",21893409
NM,"Electric Generators, Independent Power Producers",13187732
NV,"Combined Heat and Power, Commercial Power",627385
NV,"Combined Heat and Power, Electric Power",2183913
NV,"Combined Heat and Power, Industrial Power",337614
NV,"Electric Generators, Electric Utilities",27261574
NV,"Electric Generators, Independent Power Producers",11469702
NY,"Combined Heat and Power, Commercial Power",1283599
NY,"Combined Heat and Power, Electric Power",11479531
NY,"Combined Heat and Power, Industrial Power",823690
NY,"Electric Generators, Electric Utilities",37266097
NY,"Electric Generators, Independent Power Producers",74373104
OH,"Combined Heat and Power, Commercial Power",253877
OH,"Combined Heat and Power, Electric Power",1593691
OH,"Combined Heat and Power, Industrial Power",746446
OH,"Electric Generators, Electric Utilities",12554826
OH,"Electric Generators, Independent Power Producers",108186770
OK,"Combined Heat and Power, Commercial Power",0
OK,"Combined Heat and Power, Industrial Power",839102
OK,"Electric Generators, Electric Utilities",36250896
OK,"Electric Generators, Independent Power Producers",43474125
OR,"Combined Heat and Power, Commercial Power",81271
OR,"Combined Heat and Power, Electric Power",5909188
OR,"Combined Heat and Power, Industrial Power",631596
OR,"Electric Generators, Electric Utilities",39845286
OR,"Electric Generators, Independent Power Producers",14614496
PA,"Combined Heat and Power, Commercial Power",384085
PA,"Combined Heat and Power, Electric Power",7924378
PA,"Combined Heat and Power, Industrial Power",2728318
PA,"Electric Generators, Electric Utilities",108593
PA,"Electric Generators, Independent Power Producers",230502987
RI,"Combined Heat and Power, Commercial Power",57447
RI,"Combined Heat and Power, Industrial Power",137274
RI,"Electric Generators, Electric Utilities",2
RI,"Electric Generators, Independent Power Producers",7840292
SC,"Combined Heat and Power, Commercial Power",2208
SC,"Combined Heat and Power, Electric Power",681914
SC,"Combined Heat and Power, Industrial Power",1804883
SC,"Electric Generators, Electric Utilities",94331674
SC,"Electric Generators, Independent Power Producers",3103724
SD,"Combined Heat and Power, Commercial Power",12
SD,"Combined Heat and Power, Industrial Power",28443
SD,"Electric Generators, Electric Utilities",9905268
SD,"Electric Generators, Independent Power Producers",7900910
TN,"Combined Heat and Power, Commercial Power",205812
TN,"Combined Heat and Power, Industrial Power",2204479
TN,"Electric Generators, Electric Utilities",78603226
TN,"Electric Generators, Independent Power Producers",465366
TX,"Combined Heat and Power, Commercial Power",612266
TX,"Combined Heat and Power, Electric Power",41947893
TX,"Combined Heat and Power, Industrial Power",41286435
TX,"Electric Generators, Electric Utilities",82082918
TX,"Electric Generators, Independent Power Producers",317632263
US-TOTAL,"Combined Heat and Power, Commercial Power",13147622
US-TOTAL,"Combined Heat and Power, Electric Power",132382347
US-TOTAL,"Combined Heat and Power, Industrial Power",139607169
US-TOTAL,"Electric Generators, Electric Utilities",2216234058
US-TOTAL,"Electric Generators, Independent Power Producers",1614168959
UT,"Combined Heat and Power, Commercial Power",126451
UT,"Combined Heat and Power, Electric Power",53816
UT,"Combined Heat and Power, Industrial Power",416951
UT,"Electric Generators, Electric Utilities",37112552
UT,"Electric Generators, Independent Power Producers",4947012
VA,"Combined Heat and Power, Commercial Power",331937
VA,"Combined Heat and Power, Electric Power",1012106
VA,"Combined Heat and Power, Industrial Power",2333896
VA,"Electric Generators, Electric Utilities",73103689
VA,"Electric Generators, Independent Power Producers",17527389
VT,"Combined Heat and Power, Commercial Power",3141
VT,"Electric Generators, Electric Utilities",915002
VT,"Electric Generators, Independent Power Producers",1229589
WA,"Combined Heat and Power, Commercial Power",28075
WA,"Combined Heat and Power, Industrial Power",2101579
WA,"Electric Generators, Electric Utilities",94110726
WA,"Electric Generators, Independent Power Producers",12882338
WI,"Combined Heat and Power, Commercial Power",139559
WI,"Combined Heat and Power, Electric Power",943291
WI,"Combined Heat and Power, Industrial Power",1451526
WI,"Electric Generators, Electric Utilities",51160713
WI,"Electric Generators, Independent Power Producers",11783588
WV,"Combined Heat and Power, Industrial Power",1286665
WV,"Electric Generators, Electric Utilities",47093799
WV,"Electric Generators, Independent Power Producers",17250096
WY,"Combined Heat and Power, Industrial Power",2234720
WY,"Electric Generators, Electric Utilities",37365468
WY,"Electric Generators, Independent Power Producers",4050482
